,Termonfeckin
,The Ballagh
,The Commons
,The Swan
,Thomastown
,Three Mile House (Cabragh)
,Thurles
,Tievebane (Tooban)
,Timoleague
,Tinahely
,Tinryland (Tinriland)
,Tinure
,Tipperary
,Toomevara
,Toornafulla
,Tower
,Tralee
,Tramore
,Trim
,Tuam
,Tubbercurry
,Tulla
,Tullaghan
,Tullamore
,Tullow
,Tullyallen
,Tulsk
,Turlough
,Turloughmore
,Twomileborris
,Tyrrellspass
,Unionhall
,Urlingford
,Villierstown
,Virginia
,Walsh Island (Coolagary)
,Waterford
,Watergrasshill
,Waterville
,Westport
,Wexford
,Whitechurch
,Whitegate
,Whitegate
,Wicklow
,Williamstown
,Woodford
,Youghal
